YEAR;MONTH;UNEMPLOYED;GENDER;AGEGROUP
2010;8;187781;F;LESS25
2010;9;201239;F;LESS25
2010;10;207963;F;LESS25
2010;11;208397;F;LESS25
2010;12;193315;F;LESS25
2011;1;200535;F;LESS25
2011;2;211553;F;LESS25
2011;3;217441;F;LESS25
2011;4;210705;F;LESS25
2011;5;204682;F;LESS25
2011;6;192277;F;LESS25
2011;7;190524;F;LESS25
2011;8;192489;F;LESS25
2011;9;213026;F;LESS25
2011;10;221594;F;LESS25
2011;11;225231;F;LESS25
2011;12;211633;F;LESS25
2012;1;220038;F;LESS25
2012;2;231373;F;LESS25
2012;3;234981;F;LESS25
2012;4;231857;F;LESS25
2012;5;228675;F;LESS25
2012;6;207954;F;LESS25
2012;7;203884;F;LESS25
2012;8;204714;F;LESS25
2012;9;220859;F;LESS25
2012;10;230428;F;LESS25
2012;11;230163;F;LESS25
2012;12;214825;F;LESS25
2013;1;217990;F;LESS25
2013;2;225467;F;LESS25
2013;3;224721;F;LESS25
2013;4;223926;F;LESS25
2013;5;216774;F;LESS25
2013;6;197651;F;LESS25
2013;7;195788;F;LESS25
2013;8;193924;F;LESS25
2013;9;209552;F;LESS25
2013;10;216527;F;LESS25
2013;11;215780;F;LESS25
2013;12;196100;F;LESS25
2014;1;204823;F;LESS25
2014;2;203414;F;LESS25
2014;3;204614;F;LESS25
2014;4;197466;F;LESS25
2014;5;194735;F;LESS25
2014;6;181868;F;LESS25
2014;7;185419;F;LESS25
2014;8;184882;F;LESS25
2014;9;198379;F;LESS25
2005;1;762978;M;EQMORE25
2005;2;743454;M;EQMORE25
2005;3;735650;M;EQMORE25
2005;4;710457;M;EQMORE25
2005;5;665376;M;EQMORE25
2005;6;641092;M;EQMORE25
2005;7;650627;M;EQMORE25
2005;8;674401;M;EQMORE25
2005;9;661233;M;EQMORE25
2005;10;674347;M;EQMORE25
2005;11;687394;M;EQMORE25
2005;12;718954;M;EQMORE25
2006;1;729065;M;EQMORE25
2006;2;718370;M;EQMORE25
2006;3;701964;M;EQMORE25
2006;4;677568;M;EQMORE25
2006;5;648032;M;EQMORE25
2006;6;627759;M;EQMORE25
2006;7;633287;M;EQMORE25
2006;8;658997;M;EQMORE25
2006;9;639963;M;EQMORE25
2006;10;645312;M;EQMORE25
2006;11;656998;M;EQMORE25
2006;12;686563;M;EQMORE25
2007;1;689178;M;EQMORE25
2007;2;675714;M;EQMORE25
2007;3;664883;M;EQMORE25
2007;4;653319;M;EQMORE25
2007;5;636921;M;EQMORE25
2007;6;633047;M;EQMORE25
2007;7;649222;M;EQMORE25
2007;8;688909;M;EQMORE25
2007;9;673293;M;EQMORE25
2007;10;688528;M;EQMORE25
2007;11;713543;M;EQMORE25
2007;12;761252;M;EQMORE25
2008;1;801535;M;EQMORE25
2008;2;825329;M;EQMORE25
2008;3;828044;M;EQMORE25
2008;4;850620;M;EQMORE25
2008;5;870712;M;EQMORE25
2008;6;896702;M;EQMORE25
2008;7;930397;M;EQMORE25
2008;8;997725;M;EQMORE25
2008;9;1036542;M;EQMORE25
2008;10;1131468;M;EQMORE25
2008;11;1225619;M;EQMORE25
2008;12;1347520;M;EQMORE25
2009;1;1428364;M;EQMORE25
2009;2;1496391;M;EQMORE25
2009;3;1550508;M;EQMORE25
2009;4;1574667;M;EQMORE25
2009;5;1561064;M;EQMORE25
2009;6;1536416;M;EQMORE25
2009;7;1532031;M;EQMORE25
2009;8;1579899;M;EQMORE25
2009;9;1599411;M;EQMORE25
2009;10;1643659;M;EQMORE25
2009;11;1676972;M;EQMORE25
2009;12;1754554;M;EQMORE25
2010;1;1798559;M;EQMORE25
2010;2;1829955;M;EQMORE25
2010;3;1839754;M;EQMORE25
2010;4;1819164;M;EQMORE25
2010;5;1777962;M;EQMORE25
2010;6;1733065;M;EQMORE25
2010;7;1701156;M;EQMORE25
2010;8;1736534;M;EQMORE25
2010;9;1739548;M;EQMORE25
2010;10;1765189;M;EQMORE25
2010;11;1774553;M;EQMORE25
2010;12;1812729;M;EQMORE25
2011;1;1857908;M;EQMORE25
2011;2;1875744;M;EQMORE25
2011;3;1884438;M;EQMORE25
2011;4;1863343;M;EQMORE25
2011;5;1818326;M;EQMORE25
2011;6;1788726;M;EQMORE25
2011;7;1774148;M;EQMORE25
2011;8;1804580;M;EQMORE25
2011;9;1827990;M;EQMORE25
2011;10;1892799;M;EQMORE25
2011;11;1918591;M;EQMORE25
2011;12;1960810;M;EQMORE25
2012;1;2031474;M;EQMORE25
2012;2;2082795;M;EQMORE25
2012;3;2097884;M;EQMORE25
2012;4;2095866;M;EQMORE25
2012;5;2075462;M;EQMORE25
2012;6;2039234;M;EQMORE25
2012;7;2032453;M;EQMORE25
2012;8;2059937;M;EQMORE25
2012;9;2077764;M;EQMORE25
2012;10;2135737;M;EQMORE25
2012;11;2160018;M;EQMORE25
2012;12;2166097;M;EQMORE25
2013;1;2226980;M;EQMORE25
2013;2;2249227;M;EQMORE25
2013;3;2251100;M;EQMORE25
2013;4;2215822;M;EQMORE25
2013;5;2164255;M;EQMORE25
2013;6;2106209;M;EQMORE25
2013;7;2067890;M;EQMORE25
2013;8;2076454;M;EQMORE25
2013;9;2062202;M;EQMORE25
2013;10;2098174;M;EQMORE25
2013;11;2092662;M;EQMORE25
2013;12;2078228;M;EQMORE25
2014;1;2113146;M;EQMORE25
2014;2;2109329;M;EQMORE25
2014;3;2093616;M;EQMORE25
2014;4;2044101;M;EQMORE25
2014;5;1975402;M;EQMORE25
